"","Site","SiteName","Tree","growth5yr_mm","DBH_cm"
"1","CNT","Cantua Creek","271",3.82,69.8
"2","CNT","Cantua Creek","272",11.69,48.2
"3","CNT","Cantua Creek","273",3.13,54
"4","CNT","Cantua Creek","400",1.12,84.2
"5","CNT","Cantua Creek","UNL",1.83,70.3
"6","HOP","Hopland New Plot","1",9.09,42.8
"7","HOP","Hopland New Plot","2",6.35,31.5
"8","HOP","Hopland New Plot","3",8.25,30
"9","HOP","Hopland New Plot","4",1.67,22.1
"10","HOP","Hopland New Plot","5",3.37,19.5
"11","HOP","Hopland New Plot","6",7.33,34
"12","HOP","Hopland New Plot","7",10.38,27.5
"13","LPD","Los Padres","1",3.53,31.5
"14","LPD","Los Padres","2",1.02,33.7
"15","LPD","Los Padres","3",4.61,27.1
"16","LPD","Los Padres","4",2.24,27.8
"17","LPD","Los Padres","5",5.19,56.9
"18","LYN","Lyonsville","1",2.77,24.7
"19","LYN","Lyonsville","2",2.3,33.6
"20","LYN","Lyonsville","3",8.03,18.8
"21","LYN","Lyonsville","4",1.55,57
"22","LYN","Lyonsville","5",6.87,27.8
"23","LYN","Lyonsville","6",5.09,34.1
"24","LYN","Lyonsville","7",2.18,23.65
"25","PWD","PW","10705",8.05,104
"26","PWD","PW","543",6.12,71.1
"27","PWD","PW","544",5.37,85.1
"28","PWD","PW","546",6.14,46.3
"29","PWD","PW","547",1.63,40.5
"30","SJR","San Joaquin","372",7.88,41.2
"31","SJR","San Joaquin","374",3.15,55.4
"32","SJR","San Joaquin","375",3.44,52.1
"33","SJR","San Joaquin","376",4.41,43.5
"34","SJR","San Joaquin","377",2.3,50
"35","SMD","Sierra Madre","172",3.49,44.5
"36","SMD","Sierra Madre","294",1.46,52.1
"37","SMD","Sierra Madre","3",4.16,49.9
"38","SMD","Sierra Madre","4",1.15,50.7
"39","SMD","Sierra Madre","5",1.38,60
"40","SMR","Santa Maria","1",2.03,88.5
"41","SMR","Santa Maria","2",2.91,56.1
"42","SMR","Santa Maria","3",3.51,36.5
"43","SMR","Santa Maria","4",7.86,43.7
"44","SMR","Santa Maria","5",6.79,33.5
"45","SMT","SummitCity","Q506",10.07,41
"46","SMT","SummitCity","Q507",8.26,7.8
"47","SMT","SummitCity","Q509",6.81,14.9
"48","SMT","SummitCity","Q510",18.41,11.3
"49","SMT","SummitCity","Q511",8.43,10.5
"50","SON","Sonora","1",7.57,55.7
"51","SON","Sonora","2",9.46,35.1
"52","SON","Sonora","3",5.75,43.7
"53","SON","Sonora","4",9.06,42.7
"54","SON","Sonora","6",9.24,47.7
"55","SRD","Sonora Ranger Distric","401",5.58,24.5
"56","SRD","Sonora Ranger Distric","402",2.86,27.2
"57","SRD","Sonora Ranger Distric","403",5.33,30.1
"58","SRD","Sonora Ranger Distric","409",2.98,29.8
"59","SRD","Sonora Ranger Distric","410",4.51,18.9
